"Település-azonosító törzsszám","Név","Területi jelzőszám","Jogállás 2005","Statisztikai nagyrégió kódja","Régió 2016","NUTS'16","Járás kód","Járás központ kódja","Agglomeráció kódja","Borrégió'19","Borvidék'19","Turisztikai
régió","Világörökségi helyszínek","Világörökségi helyszínek védőövezete","Kedvezményezett települések kódja","Kedvezményezett járások kódja","Szabad vállalkozási zónák","Területfejlesztési szempontból kiemelt térség","Gazdaságfejlesztési zóna"
"02079","Dunaremete","0800 4 2","42","2","30","HU221","089","0","9999","9","9993","09","99","99","9","9","9","9","2"
"02088","Mánd","1500 4 2","42","3","60","HU323","150","0","9999","9","9992","03","99","99","3","3","1","9","1"
"02097","Gutorfölde","2000 4 2","42","2","30","HU223","197","0","9999","9","9993","09","99","99","9","9","9","9","2"
"02103","Maróc","2000 4 2","42","2","30","HU223","195","0","9999","9","9993","09","99","99","3","1","9","9","2"
"02112","Budapest 17. ker.","0117 9 9","90","1","11","HU110","017","1","0001","4","3200","01","99","99","9","9","9","4","9"
"02121","Csanádalberti","0600 4 2","42","3","70","HU333","073","0","9999","9","9992","05","99","99","1","1","9","9","3"
"02130","Mihályfa","2000 4 2","42","2","30","HU223","198","0","9999","9","9993","09","99","99","9","1","9","9","2"
"02149","Foktő","0300 4 2","42","3","70","HU331","037","0","9999","9","9992","05","99","99","9","1","9","3","3"
"02158","Muhi","0500 4 2","42","3","50","HU311","068","0","9999","9","9991","02","99","99","9","9","9","9","1"
"02167","Komádi","0900 3 2","30","3","60","HU321","094","0","9999","9","9992","03","99","99","1","3","1","9","1"
"02185","Csopak","1900 4 2","42","2","20","HU213","185","0","2013","2","1900","07","99","99","9","9","9","1","2"
"02194","Nemesvámos","1900 4 2","42","2","20","HU213","191","0","3133","9","9993","06","99","99","9","9","9","9","2"
"02200","Isztimér","0700 4 2","42","2","20","HU211","082","0","3103","9","9993","06","99","99","9","9","9","9","2"
"02219","Balatonfűzfő","1900 3 2","30","2","20","HU213","184","0","2013","9","9993","07","99","99","9","9","9","1","2"
"02228","Martonfa","0200 4 2","42","2","40","HU231","029","0","1033","9","9993","08","99","99","9","1","9","9","4"
"02237","Vág","0800 4 2","42","2","30","HU221","086","0","9999","9","9993","09","99","99","9","4","9","9","2"
"02246","Vát","1800 4 2","42","2","30","HU222","181","0","2033","9","9993","09","99","99","9","9","9","9","2"
"02264","Vásárosdombó","0200 4 2","42","2","40","HU231","025","0","9999","9","9993","08","99","99","3","3","1","9","4"
"02273","Abaújvár","0500 4 2","42","3","50","HU311","057","0","9999","9","9991","02","99","99","1","3","1","9","1"
"02282","Hejőkürt","0500 4 2","42","3","50","HU311","068","0","9999","9","9991","04","99","99","2","9","9","9","1"
"02291","Tiszabábolna","0500 4 2","42","3","50","HU311","060","0","9999","9","9991","04","05","99","9","1","1","9","1"
"02307","Kaba","0900 3 2","30","3","60","HU321","102","0","9999","9","9992","03","99","99","2","3","1","9","1"
"02316","Etyek","0700 4 2","41","2","20","HU211","077","0","9999","5","2100","06","99","99","9","9","9","9","2"
"02325","Baktalórántháza","1500 3 2","30","3","60","HU323","148","1","9999","9","9992","03","99","99","2","3","1","9","1"
"02343","Kincsesbánya","0700 4 2","42","2","20","HU211","082","0","3103","9","9993","06","99","99","9","9","9","9","2"
"02352","Újkígyós","0400 3 2","30","3","70","HU332","046","0","3013","9","9992","05","99","99","9","9","9","9","3"
"02361","Nagybajcs","0800 4 2","42","2","30","HU221","087","0","1013","9","9993","09","99","99","9","9","9","9","2"
"02370","Rád","1300 4 2","42","1","12","HU120","138","0","9999","9","9991","01","99","99","9","9","9","9","9"
"02389","Bercel","1200 4 2","42","3","50","HU313","116","0","9999","9","9991","02","99","99","9","1","9","9","1"
"02404","Surd","2000 4 2","42","2","30","HU223","196","0","9999","9","9993","09","99","99","9","4","9","9","2"
"02413","Kisbabot","0800 4 2","42","2","30","HU221","092","0","1013","9","9993","09","99","99","9","1","9","9","2"
"02422","Hegyesd","1900 4 2","42","2","20","HU213","189","0","9999","2","2000","07","99","99","9","9","9","1","2"
"02431","Bük","1800 3 2","30","2","30","HU222","178","0","9999","9","9993","09","99","99","9","9","9","9","2"
"02440","Szatta","1800 4 2","42","2","30","HU222","177","0","9999","9","9993","09","99","99","9","4","9","9","2"
"02459","Vajta","0700 4 2","42","2","20","HU211","084","0","9999","9","9993","06","99","99","3","3","1","3","2"
"02468","Hegymeg","0500 4 2","42","3","50","HU311","055","0","9999","9","9991","02","99","99","2","3","1","9","1"
"02477","Csombárd","1400 4 2","42","2","40","HU232","143","0","3033","9","9993","08","99","99","9","1","9","9","4"
"02486","Zalacséb","2000 4 2","42","2","30","HU223","197","0","2043","9","9993","09","99","99","9","9","9","9","2"
"02495","Nagycenk","0800 4 2","41","2","30","HU221","091","0","3073","5","2500","09","07","07","9","9","9","9","2"
"02501","Kisunyom","1800 4 2","42","2","30","HU222","181","0","2033","9","9993","09","99","99","9","9","9","9","2"
"02510","Kocs","1100 4 2","42","2","20","HU212","114","0","9999","5","1700","06","99","99","9","9","9","9","2"
"02529","Várfölde","2000 4 2","42","2","30","HU223","195","0","9999","9","9993","09","99","99","3","1","9","9","2"
"02547","Sumony","0200 4 2","42","2","40","HU231","032","0","9999","9","9993","08","99","99","3","1","9","9","4"
"02556","Mórichida","0800 4 2","42","2","30","HU221","092","0","1013","9","9993","09","99","99","9","1","9","9","2"
"02565","Döbrököz","1700 4 2","42","2","40","HU233","171","0","9999","9","9993","08","99","99","3","1","9","9","4"
"02574","Kenéz","1800 4 2","42","2","30","HU222","179","0","2033","9","9993","09","99","99","9","9","9","9","2"
"02583","Csesztreg","2000 4 2","42","2","30","HU223","194","0","9999","9","9993","09","99","99","9","1","9","9","2"
"02608","Zalaszentiván","2000 4 2","42","2","30","HU223","197","0","2043","9","9993","09","99","99","9","9","9","9","2"
"02617","Sopronnémeti","0800 4 2","42","2","30","HU221","086","0","9999","9","9993","09","99","99","9","4","9","9","2"
"02626","Martfű","1600 3 2","30","3","60","HU322","167","0","9999","9","9992","03","99","99","9","9","9","9","1"
"02635","Öttevény","0800 4 2","42","2","30","HU221","087","0","1013","9","9993","09","99","99","9","9","9","9","2"
"02644","Alibánfa","2000 4 2","42","2","30","HU223","197","0","2043","9","9993","09","99","99","9","9","9","9","2"
"02653","Nagyharsány","0200 4 2","42","2","40","HU231","031","0","9999","1","2900","08","99","99","3","1","9","9","4"
"02662","Milejszeg","2000 4 2","42","2","30","HU223","197","0","2043","9","9993","09","99","99","3","9","9","9","2"
"02671","Kántorjánosi","1500 4 2","42","3","60","HU323","154","0","9999","9","9992","03","99","99","3","3","1","9","1"
"02680","Békésszentandrás","0400 4 2","41","3","70","HU332","052","0","9999","9","9992","05","99","99","9","1","9","9","3"
"02699","Sárkeszi","0700 4 2","42","2","20","HU211","085","0","3103","9","9993","06","99","99","9","9","9","9","2"
"02705","Pálmonostora","0300 4 2","42","3","70","HU331","040","0","9999","3","1600","05","99","99","1","1","9","9","3"
"02714","Tótvázsony","1900 4 2","42","2","20","HU213","191","0","3133","9","9993","07","99","99","9","9","9","1","2"
"02723","Sáregres","0700 4 2","42","2","20","HU211","084","0","9999","9","9993","06","99","99","1","3","1","3","2"
"02741","Fáj","0500 4 2","42","3","50","HU311","056","0","9999","9","9991","02","99","99","1","3","1","9","1"
"02750","Vértesacsa","0700 4 2","42","2","20","HU211","077","0","9999","9","9993","06","99","99","9","9","9","9","2"
"02769","Tápiószőlős","1300 4 2","42","1","12","HU120","124","0","9999","9","9992","01","99","99","9","1","9","9","9"
"02778","Ludányhalászi","1200 4 2","42","3","50","HU313","121","0","9999","9","9991","02","99","99","1","3","1","9","1"
"02787","Nemesgulács","1900 4 2","42","2","20","HU213","189","0","9999","2","1800","07","99","99","9","9","9","1","2"
"02796","Nak","1700 4 2","42","2","40","HU233","171","0","9999","9","9993","08","99","99","3","1","9","9","4"
"02802","Enying","0700 3 2","30","2","20","HU211","079","1","9999","9","9993","06","99","99","2","2","1","9","2"
"02811","Miszla","1700 4 2","42","2","40","HU233","174","0","9999","9","9993","08","99","99","1","3","1","3","4"
"02820","Abaújlak","0500 4 2","42","3","50","HU311","067","0","9999","9","9991","02","99","99","1","3","1","9","1"
"02839","Nemeskocs","1800 4 2","42","2","30","HU222","176","0","9999","9","9993","09","99","99","9","1","9","9","2"
"02848","Felsőzsolca","0500 3 2","30","3","50","HU311","061","0","1023","9","9991","02","99","99","9","9","1","9","1"
"02857","Geresdlak","0200 4 2","42","2","40","HU231","029","0","9999","9","9993","08","99","99","9","1","9","9","4"
"02866","Oszlár","0500 4 2","42","3","50","HU311","068","0","9999","9","9991","04","99","99","9","9","9","9","1"
"02875","Sáta","0500 4 2","42","3","50","HU311","062","0","9999","9","9991","02","99","99","3","3","1","9","1"
"02884","Vasalja","1800 4 2","42","2","30","HU222","177","0","9999","9","9993","09","99","99","9","4","9","9","2"
"02893","Söréd","0700 4 2","42","2","20","HU211","082","0","3103","5","2200","06","99","99","9","9","9","9","2"
"02909","Magyarszentmiklós","2000 4 2","42","2","30","HU223","196","0","3153","9","9993","09","99","99","9","4","9","9","2"
"02918","Balmazújváros","0900 3 2","30","3","60","HU321","093","1","9999","9","9992","03","05","99","9","1","1","9","1"
"02927","Duka","1800 4 2","42","2","30","HU222","176","0","9999","9","9993","09","99","99","1","1","9","9","2"
"02936","Dudar","1900 4 2","42","2","20","HU213","192","0","9999","9","9993","06","99","99","9","9","9","9","2"
"02945","Biri","1500 4 2","42","3","60","HU323","155","0","9999","9","9992","03","99","99","9","2","1","9","1"
"02954","Felsőszentiván","0300 4 2","42","3","70","HU331","035","0","9999","9","9992","05","99","99","1","1","9","9","3"
"02963","Bükkszék","1000 4 2","42","3","50","HU312","109","0","9999","9","9991","02","99","99","9","2","1","9","1"
"02972","Zalasárszeg","2000 4 2","42","2","30","HU223","196","0","3153","9","9993","09","99","99","9","4","9","9","2"
"02981","Egerfarmos","1000 4 2","42","3","50","HU312","105","0","9999","9","9991","02","99","99","1","2","1","9","1"
"02990","Bátorliget","1500 4 2","42","3","60","HU323","156","0","9999","9","9992","03","99","99","1","3","1","9","1"
"03009","Szombathely","1800 2 1","20","2","30","HU222","181","1","2031","9","9993","09","99","99","9","9","9","9","2"
"03018","Szebény","0200 4 2","42","2","40","HU231","027","0","9999","9","9993","08","99","99","3","1","9","9","4"
"03036","Döröske","1800 4 2","42","2","30","HU222","177","0","9999","9","9993","09","99","99","9","4","9","9","2"
"03045","Hajdúböszörmény","0900 3 2","30","3","60","HU321","097","1","9999","9","9992","03","05","99","9","1","9","9","1"
"03054","Lickóvadamos","2000 4 2","42","2","30","HU223","197","0","2043","9","9993","09","99","99","9","9","9","9","2"
"03063","Zádorfalva","0500 4 2","42","3","50","HU311","063","0","9999","9","9991","02","99","03","1","3","1","9","1"
"03072","Balatoncsicsó","1900 4 2","42","2","20","HU213","185","0","9999","2","1900","07","99","99","9","9","9","1","2"
"03081","Sajóhídvég","0500 4 2","42","3","50","HU311","061","0","9999","9","9991","02","99","99","9","9","9","9","1"
"03090","Borgáta","1800 4 2","42","2","30","HU222","176","0","9999","2","2400","09","99","99","1","1","9","9","2"
"03106","Kétsoprony","0400 4 2","42","3","70","HU332","046","0","3013","9","9992","05","99","99","9","9","9","9","3"
"03115","Dunaújváros","0700 2 2","20","2","20","HU211","078","1","3141","9","9993","06","99","99","9","9","9","9","2"
"03124","Szentkozmadombja","2000 4 2","42","2","30","HU223","197","0","2043","9","9993","09","99","99","2","9","9","9","2"
"03133","Taktaszada","0500 4 2","42","3","50","HU311","066","0","9999","9","9991","02","99","99","3","2","1","9","1"
"03142","Vönöck","1800 4 2","42","2","30","HU222","176","0","9999","9","9993","09","99","99","9","1","9","9","2"
"03151","Kistapolca","0200 4 2","42","2","40","HU231","031","0","9999","9","9993","08","99","99","2","1","9","9","4"
"03160","Szuhafő","0500 4 2","42","3","50","HU311","063","0","9999","9","9991","02","03","03","9","3","1","9","1"
"03179","Budapest 02. ker.","0102 9 9","90","1","11","HU110","002","1","0001","9","9993","01","01","01","9","9","9","4","9"
"03188","Iborfia","2000 4 2","42","2","30","HU223","197","0","9999","9","9993","09","99","99","3","9","9","9","2"
"03197","Rábahídvég","1800 4 2","42","2","30","HU222","182","0","2033","9","9993","09","99","99","9","2","1","9","2"
"03203","Nyim","1400 4 2","42","2","40","HU232","146","0","9999","9","9993","07","99","99","2","9","9","1","4"
"03212","Sajóivánka","0500 4 2","42","3","50","HU311","058","0","9999","9","9991","02","99","99","9","1","9","9","1"
"03221","Magyarlak","1800 4 2","42","2","30","HU222","180","0","9999","9","9993","09","99","99","9","9","9","9","2"
"03230","Fajsz","0300 4 2","42","3","70","HU331","037","0","9999","9","9992","05","99","99","9","1","9","3","3"
"03249","Őrhalom","1200 4 2","42","3","50","HU313","116","0","9999","9","9991","02","99","99","9","1","9","9","1"
"03258","Földes","0900 4 2","41","3","60","HU321","102","0","9999","9","9992","03","99","99","9","3","1","9","1"
"03267","Badacsonytördemic","1900 4 2","42","2","20","HU213","189","0","2013","2","1800","07","99","99","9","9","9","1","2"
"03276","Füzesabony","1000 3 2","30","3","50","HU312","105","1","9999","9","9991","04","99","99","9","2","1","9","1"
"03285","Hirics","0200 4 2","42","2","40","HU231","030","0","9999","9","9993","08","99","99","1","3","1","9","4"
"03294","Molnaszecsőd","1800 4 2","42","2","30","HU222","177","0","9999","9","9993","09","99","99","9","4","9","9","2"
"03300","Iklad","1300 4 2","42","1","12","HU120","122","0","9999","9","9991","01","99","99","9","4","9","9","9"
"03319","Ártánd","0900 4 2","42","3","60","HU321","094","0","9999","9","9992","03","99","99","9","3","1","9","1"
"03328","Ipolytarnóc","1200 4 2","42","3","50","HU313","120","0","9999","9","9991","02","99","99","1","1","1","9","1"
"03337","Ivánbattyán","0200 4 2","42","2","40","HU231","031","0","9999","1","2700","08","99","99","9","1","9","9","4"
"03346","Ivándárda","0200 4 2","42","2","40","HU231","027","0","9999","9","9993","08","99","99","9","1","9","9","4"
"03355","Nova","2000 4 2","42","2","30","HU223","194","0","9999","9","9993","09","99","99","9","1","9","9","2"
"03364","Szilsárkány","0800 4 2","42","2","30","HU221","086","0","9999","9","9993","09","99","99","9","4","9","9","2"
"03373","Tiszapüspöki","1600 4 2","42","3","60","HU322","169","0","9999","9","9992","03","99","99","1","2","1","9","1"
"03382","Szarvaskő","1000 4 2","42","3","50","HU312","104","0","2023","9","9991","02","99","99","9","9","9","9","1"
"03391","Piricse","1500 4 2","42","3","60","HU323","156","0","9999","9","9992","03","99","99","3","3","1","9","1"
"03407","Budajenő","1300 4 2","42","1","12","HU120","123","0","0053","5","2100","01","99","99","9","9","9","4","9"
"03416","Somogyszil","1400 4 2","42","2","40","HU232","143","0","9999","9","9993","08","99","99","3","1","9","9","4"
"03425","Bogyiszló","1700 4 2","42","2","40","HU233","175","0","9999","9","9993","08","99","99","9","9","9","3","4"
"03434","Lasztonya","2000 4 2","42","2","30","HU223","195","0","9999","9","9993","09","99","99","3","1","9","9","2"
"03443","Mezőzombor","0500 4 2","42","3","50","HU311","066","0","9999","6","3300","02","08","08","1","2","1","2","1"
"03452","Boldog","1000 4 2","42","3","50","HU312","107","0","9999","9","9991","02","99","99","9","9","9","9","1"
"03461","Kétegyháza","0400 4 2","41","3","70","HU332","048","0","9999","9","9992","05","99","99","9","9","9","9","3"
"03470","Meződ","0200 4 2","42","2","40","HU231","025","0","9999","9","9993","08","99","99","1","3","1","9","4"
"03489","Edde","1400 4 2","42","2","40","HU232","143","0","9999","9","9993","08","99","99","3","1","9","9","4"
"03498","Vereb","0700 4 2","42","2","20","HU211","080","0","9999","9","9993","06","99","99","9","9","9","9","2"
"03504","Sajóbábony","0500 3 2","30","3","50","HU311","061","0","1023","9","9991","02","99","99","2","9","9","9","1"
"03513","Visznek","1000 4 2","42","3","50","HU312","106","0","9999","9","9991","02","99","99","9","9","9","9","1"
"03522","Baja","0300 2 2","20","3","70","HU331","035","1","3161","3","1500","05","99","99","9","1","9","9","3"
"03531","Léh","0500 4 2","42","3","50","HU311","067","0","9999","9","9991","02","99","99","3","3","1","9","1"
"03540","Kökény","0200 4 2","42","2","40","HU231","028","0","1033","9","9993","08","99","99","9","9","9","9","4"
"03559","Balatonvilágos","1400 4 2","42","2","40","HU232","146","0","2013","2","1900","07","99","99","9","9","9","1","4"
"03568","Szentantalfa","1900 4 2","42","2","20","HU213","185","0","9999","2","1900","07","99","99","9","9","9","1","2"
"03577","Géderlak","0300 4 2","42","3","70","HU331","037","0","9999","9","9992","05","99","99","3","1","9","3","3"
"03586","Szabolcsveresmart","1500 4 2","42","3","60","HU323","153","0","9999","9","9992","03","99","99","3","1","1","9","1"
"03595","Abaújszántó","0500 3 2","30","3","50","HU311","057","0","9999","6","3300","02","99","08","9","3","1","2","1"
"03601","Sóly","1900 4 2","42","2","20","HU213","191","0","3133","9","9993","06","99","99","9","9","9","9","2"
"03610","Malomsok","1900 4 2","42","2","20","HU213","187","0","9999","9","9993","06","99","99","9","1","9","9","2"
"03629","Géberjén","1500 4 2","42","3","60","HU323","154","0","9999","9","9992","03","99","99","9","3","1","9","1"
"03638","Balatonhenye","1900 4 2","42","2","20","HU213","189","0","9999","2","2000","07","99","99","9","9","9","1","2"
"03647","Döge","1500 4 2","42","3","60","HU323","153","0","9999","9","9992","03","99","99","2","1","1","9","1"
"03656","Bátmonostor","0300 4 2","42","3","70","HU331","035","0","3163","3","1500","05","99","99","9","1","9","9","3"
"03665","Cered","1200 4 2","42","3","50","HU313","120","0","3063","9","9991","02","99","99","3","1","1","9","1"
"03674","Nemeskeresztúr","1800 4 2","42","2","30","HU222","176","0","9999","9","9993","09","99","99","1","1","9","9","2"
"03683","Magyarhomorog","0900 4 2","42","3","60","HU321","094","0","9999","9","9992","03","99","99","1","3","1","9","1"
"03692","Mende","1300 4 2","42","1","12","HU120","131","0","9999","9","9992","01","99","99","9","1","9","9","9"
"03708","Taktabáj","0500 4 2","42","3","50","HU311","069","0","9999","9","9991","02","99","99","3","2","1","9","1"
"03717","Tiszadorogma","0500 4 2","42","3","50","HU311","059","0","9999","9","9991","04","99","99","9","3","1","9","1"
"03726","Zebecke","2000 4 2","42","2","30","HU223","194","0","9999","9","9993","09","99","99","3","1","9","9","2"
"03735","Bárdudvarnok","1400 4 2","42","2","40","HU232","143","0","3033","9","9993","08","99","99","9","1","1","9","4"
"03744","Gagyvendégi","0500 4 2","42","3","50","HU311","067","0","9999","9","9991","02","99","99","3","3","1","9","1"
"03753","Rábcakapi","0800 4 2","42","2","30","HU221","086","0","9999","9","9993","09","99","99","9","4","9","9","2"
"03762","Kiskinizs","0500 4 2","42","3","50","HU311","067","0","9999","9","9991","02","99","99","9","3","1","9","1"
"03771","Arnót","0500 4 2","42","3","50","HU311","061","0","1023","9","9991","02","99","99","9","9","9","9","1"
"03780","Ócsárd","0200 4 2","42","2","40","HU231","028","0","9999","9","9993","08","99","99","9","9","9","9","4"
"03799","Csákány","1400 4 2","42","2","40","HU232","144","0","9999","9","9993","08","99","99","3","1","9","9","4"
"03805","Szakáld","0500 4 2","42","3","50","HU311","068","0","9999","9","9991","04","99","99","9","9","9","9","1"
"03814","Hévíz","2000 3 2","30","2","30","HU223","193","0","2013","2","2000","07","99","99","9","9","9","1","2"
"03823","Ároktő","0500 4 2","42","3","50","HU311","059","0","9999","9","9991","04","05","99","1","3","1","9","1"
"03832","Keszü","0200 4 2","42","2","40","HU231","028","0","1033","1","2700","08","99","99","9","9","9","9","4"
"03841","Bokor","1200 4 2","42","3","50","HU313","118","0","9999","9","9991","02","99","99","3","1","1","9","1"
"03850","Tiszabercel","1500 4 2","42","3","60","HU323","151","0","9999","9","9992","03","99","99","3","3","1","9","1"
"03869","Kistormás","1700 4 2","42","2","40","HU233","173","0","9999","9","9993","08","99","99","9","9","9","3","4"
"03878","Nyírpilis","1500 4 2","42","3","60","HU323","156","0","9999","9","9992","03","99","99","3","3","1","9","1"
"03887","Szerecseny","0800 4 2","42","2","30","HU221","092","0","1013","9","9993","09","99","99","9","1","9","9","2"
"03896","Cserkút","0200 4 2","42","2","40","HU231","028","0","1033","1","2700","08","99","99","9","9","9","9","4"
"03902","Mád","0500 4 2","42","3","50","HU311","066","0","9999","6","3300","02","08","08","9","2","1","2","1"
"03911","Csákánydoroszló","1800 4 2","42","2","30","HU222","177","0","9999","9","9993","09","99","99","9","4","9","9","2"
"03939","Cigánd","0500 3 2","30","3","50","HU311","054","1","9999","9","9991","02","99","99","3","3","1","9","1"
"03948","Raposka","1900 4 2","42","2","20","HU213","189","0","9999","2","1800","07","99","99","9","9","9","1","2"
"03957","Viszló","0500 4 2","42","3","50","HU311","055","0","9999","9","9991","02","99","99","3","3","1","9","1"
"03966","Ruzsa","0600 4 2","42","3","70","HU333","074","0","9999","3","1400","05","99","99","1","1","1","9","3"
"03975","Baksa","0200 4 2","42","2","40","HU231","030","0","1033","9","9993","08","99","99","9","3","1","9","4"
"03984","Nagybudmér","0200 4 2","42","2","40","HU231","024","0","9999","9","9993","08","99","99","3","1","9","9","4"
"03993","Héhalom","1200 4 2","42","3","50","HU313","118","0","9999","9","9991","02","99","99","9","1","1","9","1"
"04002","Zalacsány","2000 4 2","42","2","30","HU223","193","0","9999","9","9993","07","99","99","9","9","9","1","2"
"04011","Budapest 19. ker.","0119 9 9","90","1","11","HU110","019","1","0001","9","9992","01","99","99","9","9","9","4","9"
"04020","Himod","0800 4 2","42","2","30","HU221","088","0","9999","9","9993","09","99","99","9","4","9","9","2"
"04039","Csorna","0800 3 2","30","2","30","HU221","086","1","9999","9","9993","09","99","99","9","4","9","9","2"
"04048","Tófű","0200 4 2","42","2","40","HU231","026","0","9999","9","9993","08","99","99","1","9","1","9","4"
"04057","Pécel","1300 3 2","30","1","12","HU120","128","0","0022","9","9991","01","99","99","9","9","9","4","9"
"04066","Küngös","1900 4 2","42","2","20","HU213","184","0","9999","9","9993","07","99","99","9","9","9","1","2"
"04075","Ócsa","1300 3 2","30","1","12","HU120","129","0","0033","3","1600","01","99","99","9","9","9","4","9"
"04084","Hevesvezekény","1000 4 2","42","3","50","HU312","108","0","9999","9","9991","04","99","99","9","3","1","9","1"
"04093","Helvécia","0300 4 2","41","3","70","HU331","038","0","3043","3","1600","05","99","99","9","9","9","9","3"
"04109","Dusnok","0300 4 2","42","3","70","HU331","037","0","9999","3","1500","05","99","99","9","1","9","3","3"
"04118","Hortobágy","0900 4 2","42","3","60","HU321","093","0","9999","9","9992","03","05","99","9","1","1","9","1"
"04127","Som","1400 4 2","42","2","40","HU232","146","0","9999","9","9993","07","99","99","9","9","9","1","4"
"04136","Töttös","0200 4 2","42","2","40","HU231","024","0","9999","9","9993","08","99","99","9","1","9","9","4"
"04145","Hort","1000 4 2","41","3","50","HU312","107","0","9999","9","9991","02","99","99","9","9","9","9","1"
"04154","Tárnok","1300 4 2","41","1","12","HU120","127","0","0043","9","9993","01","99","99","9","9","9","4","9"
"04163","Bödeháza","2000 4 2","42","2","30","HU223","194","0","9999","9","9993","09","99","99","9","1","9","9","2"
"04172","Tárnokréti","0800 4 2","42","2","30","HU221","086","0","9999","9","9993","09","99","99","9","4","9","9","2"
