,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parlamento europeo | Mayo 2019 | Resultados por provincia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PARTIDO SOCIALISTA OBRERO ESPAÑOL,,PARTIDO POPULAR,,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,,UNIDAS PODEMOS CAMBIAR EUROPA,,VOX,,AHORA REPÚBLICAS,,LLIURES PER EUROPA,,COALICIÓN POR UNA EUROPA SOLIDARIA,,COMPROMÍS PER EUROPA /COMPROMISO POR EUROPA,,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,,COALICIÓN VERDE-EUROPA CIUDADANA,,RECORTES CERO-LOS VERDES-GRUPO VERDE EUROPEO,,VOLT EUROPA,,INICIATIVA FEMINISTA,,PCPE-PCPC-PCPA,,ACTÚA,,ANDALUCÍA POR SÍ,,POR UN MUNDO MÁS JUSTO,,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,,PIRATES DE CATALUNYA - EUROPEAN PIRATES,,CENTRISTAS POR EUROPA,,FORO DE CIUDADANOS,,IZQUIERDA EN POSITIVO,,CONTIGO SOMOS DEMOCRACIA,,EXTREMEÑOS PREX CREX,,"FE DE LAS JONS, ALTERNATIVA ESPAÑOLA,LA FALANGE, DEMOCRACIA NACIONAL",,ALTERNATIVA REPUBLICANA,,IGUALDAD REAL,,MOVIMIENTO CORRIENTE ROJA,,PARTIDO HUMANISTA,,MOVIMIENTO INDEPENDIENTE EURO LATINO,,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,
,,,,,,,,,,,,,,,,PSOE,,PP,,Cs,,PODEMOS-IU,,VOX,,AHORA REPÚBLICAS,,JUNTS,,CEUS,,CPE,,PACMA,,CV-EC,,RECORTES CERO-LV-GVE,,VOLT,,I.Fem,,PCPE-PCPC-PCPA,,PACT,,AxSÍ,,PUM+J,,PCTE,,pirates.cat/ep,,CXE,,FAC,,IZQP,,CONTIGO,,CEX-CREX-PREX,,ADÑ,,ALTER,,IGRE,,MCR,,PH,,MIEL,,SAIn,
Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Andalucía,4,Almería,709340,808,472085,41194,513279,,289771,873,290644,286855,284319,2536,3789,101815,,88000,,34993,,19182,,32173,,194,,190,,73,,156,,3415,,553,,331,,645,,329,,296,,171,,280,,182,,168,,128,,121,,73,,149,,64,,37,,198,,72,,69,,52,,77,,69,,64,
Andalucía,11,Cádiz,1238714,1521,975182,28158,1003340,,532324,847,533171,525985,519253,6732,7186,198602,,100635,,76179,,74374,,38899,,424,,497,,486,,621,,9376,,1514,,1977,,1092,,726,,1036,,423,,7625,,506,,461,,296,,374,,284,,471,,236,,192,,221,,365,,579,,246,,258,,167,,111,
Andalucía,14,Córdoba,785240,913,633741,17610,651351,,405069,643,405712,399922,395516,4406,5790,159233,,95355,,50692,,51542,,25976,,232,,222,,538,,281,,4327,,739,,514,,529,,464,,960,,263,,915,,355,,542,,161,,141,,135,,389,,99,,53,,170,,85,,144,,190,,126,,81,,63,
Andalucía,18,Granada,912075,1101,709648,48846,758494,,453791,1406,455197,448130,444134,3996,7067,178676,,102426,,59748,,48334,,36903,,350,,270,,412,,377,,5666,,1332,,1225,,769,,533,,820,,455,,1308,,645,,424,,210,,914,,163,,259,,125,,82,,201,,518,,157,,511,,157,,68,,96,
Andalucía,21,Huelva,519932,650,396140,7224,403364,,240220,228,240448,236245,233003,3242,4203,108416,,52020,,26915,,21852,,14899,,157,,103,,187,,206,,3075,,451,,427,,431,,287,,245,,180,,1361,,216,,196,,136,,298,,125,,113,,65,,49,,92,,59,,131,,89,,119,,64,,39,
Andalucía,23,Jaén,638099,915,515203,12381,527584,,351725,372,352097,346730,343680,3050,5367,159605,,82020,,41046,,29528,,21983,,180,,109,,76,,165,,3448,,512,,468,,498,,370,,519,,335,,996,,211,,281,,120,,123,,86,,159,,104,,66,,171,,78,,105,,69,,94,,46,,109,
Andalucía,29,Málaga,1641121,1693,1168813,52798,1221611,,675154,1519,676673,668314,662110,6204,8359,244922,,168596,,92090,,75960,,52481,,554,,394,,560,,646,,12258,,1839,,1290,,1048,,766,,1040,,555,,2059,,505,,562,,406,,252,,273,,374,,376,,133,,312,,534,,282,,402,,306,,124,,211,
Andalucía,41,Sevilla,1939887,2564,1512653,33941,1546594,,917133,1452,918585,906515,897420,9095,12070,396627,,160719,,115167,,122145,,65434,,755,,512,,629,,1079,,13252,,1925,,1650,,1533,,906,,1278,,2163,,4914,,1190,,749,,453,,270,,330,,746,,470,,211,,416,,301,,538,,435,,267,,163,,193,
Aragón,22,Huesca,219345,412,167410,7385,174795,,111066,365,111431,110350,108468,1882,1081,42250,,25145,,16648,,10822,,7450,,447,,472,,35,,1808,,1087,,392,,350,,182,,227,,185,,87,,20,,85,,113,,121,,51,,35,,47,,28,,49,,64,,104,,29,,34,,41,,37,,23,
Aragón,44,Teruel,134572,331,103693,4766,108459,,72964,161,73125,72081,70693,1388,1044,26763,,18969,,10848,,5901,,4959,,175,,131,,34,,1316,,538,,132,,102,,85,,114,,89,,60,,11,,75,,51,,45,,15,,10,,46,,21,,13,,60,,30,,29,,29,,14,,14,,14,
Aragón,50,Zaragoza,954811,1434,719810,23358,743168,,480818,1350,482168,479146,473844,5302,3022,170345,,99502,,87070,,51770,,39900,,1183,,530,,186,,10117,,5121,,1314,,1120,,693,,570,,601,,364,,68,,397,,414,,339,,128,,241,,296,,81,,164,,309,,457,,133,,106,,126,,97,,102,
Principado de Asturias,33,Asturias,1028244,1573,857819,116738,974557,,524574,2623,527197,522633,515193,7440,4564,201642,,99370,,70997,,76949,,38913,,1902,,575,,327,,447,,6060,,1262,,1514,,1291,,630,,907,,1888,,76,,424,,1077,,310,,188,,6071,,749,,168,,98,,254,,241,,242,,195,,190,,90,,146,
Illes Balears,7,Illes Balears,1128908,1215,791993,27402,819395,,421466,684,422150,417603,412037,5566,4547,122532,,88432,,49369,,43841,,31983,,20464,,10558,,15993,,12447,,6763,,1817,,954,,841,,693,,407,,917,,234,,313,,330,,376,,211,,173,,205,,527,,141,,213,,392,,177,,218,,241,,178,,97,
Canarias,35,Las Palmas,1109175,1510,834290,47585,881875,,452198,469,452667,447627,440524,7103,5040,145514,,70739,,37453,,47860,,16018,,1330,,996,,68034,,34947,,6875,,1647,,1754,,682,,753,,663,,371,,161,,624,,315,,271,,227,,402,,255,,541,,173,,224,,351,,347,,239,,298,,292,,168,
Canarias,38,Santa Cruz de Tenerife,1018510,1315,779141,99204,878345,,451386,1201,452587,448980,442986,5994,3607,141519,,71194,,30572,,45469,,13665,,1130,,822,,118338,,3348,,7977,,1675,,1454,,472,,660,,534,,299,,104,,432,,263,,268,,176,,214,,189,,291,,219,,179,,411,,206,,360,,175,,267,,104,
Cantabria,39,Cantabria,580229,823,465736,38266,504002,,316375,918,317293,313196,307207,5989,4097,117508,,84760,,43730,,26793,,21381,,631,,254,,777,,292,,4271,,958,,801,,450,,432,,650,,281,,92,,305,,501,,256,,195,,134,,248,,242,,95,,196,,168,,154,,207,,180,,127,,138,
Castilla - La Mancha,2,Albacete,388786,517,303582,7290,310872,,207171,295,207466,205365,203183,2182,2101,80912,,55547,,28045,,16897,,15244,,141,,121,,61,,216,,2300,,503,,496,,299,,232,,249,,118,,22,,187,,167,,106,,539,,50,,55,,219,,28,,105,,68,,97,,30,,57,,40,,32,
Castilla - La Mancha,13,Ciudad Real,499100,706,391277,6246,397523,,268890,366,269256,265803,262564,3239,3453,112903,,75166,,31479,,18122,,18250,,131,,103,,74,,120,,2426,,427,,783,,368,,333,,201,,125,,52,,153,,184,,122,,193,,67,,92,,78,,86,,100,,56,,106,,84,,74,,44,,62,
Castilla - La Mancha,16,Cuenca,197222,383,153898,3012,156910,,117522,147,117669,116241,114663,1578,1428,49099,,36686,,10723,,7668,,7947,,79,,87,,27,,72,,889,,177,,95,,129,,139,,87,,56,,19,,85,,64,,45,,160,,38,,45,,20,,14,,56,,30,,56,,14,,29,,15,,13,
Castilla - La Mancha,19,Guadalajara,254308,547,184423,4360,188783,,126847,194,127041,125941,124745,1196,1100,45536,,30150,,18495,,12330,,13762,,175,,83,,47,,135,,1779,,317,,334,,187,,127,,127,,116,,41,,137,,141,,80,,60,,49,,58,,94,,48,,144,,55,,29,,32,,36,,22,,19,
Castilla - La Mancha,45,Toledo,687391,929,516106,11217,527323,,363719,464,364183,359923,356323,3600,4260,145842,,98741,,42195,,26347,,32909,,238,,173,,588,,184,,3615,,567,,515,,419,,307,,382,,359,,59,,259,,233,,120,,742,,130,,123,,159,,204,,302,,113,,151,,123,,89,,80,,55,
Castilla y León,5,Ávila,158498,361,129491,7869,137360,,97475,258,97733,96470,95026,1444,1263,28091,,35212,,15225,,6150,,7627,,81,,56,,37,,54,,765,,204,,174,,148,,120,,125,,215,,28,,84,,88,,65,,82,,25,,48,,29,,41,,78,,44,,27,,37,,18,,31,,17,
Castilla y León,9,Burgos,357070,796,282675,17533,300208,,192165,611,192776,191053,188486,2567,1723,66370,,51931,,30986,,17852,,13235,,452,,141,,597,,187,,1942,,758,,448,,262,,493,,319,,178,,39,,282,,289,,162,,131,,115,,147,,126,,55,,118,,311,,99,,119,,72,,38,,232,
Castilla y León,24,León,463746,801,388015,46224,434239,,254732,1237,255969,253084,248942,4142,2885,99425,,69039,,33740,,22522,,16354,,286,,200,,83,,183,,2557,,656,,367,,289,,284,,313,,432,,30,,238,,341,,168,,102,,116,,125,,125,,55,,185,,189,,244,,127,,95,,38,,34,
Castilla y León,34,Palencia,162035,376,134547,7197,141744,,96672,276,96948,95936,94565,1371,1012,34099,,32033,,12523,,7061,,6463,,92,,40,,36,,121,,720,,209,,139,,132,,122,,90,,62,,18,,84,,86,,53,,35,,37,,53,,30,,20,,49,,23,,26,,21,,34,,15,,39,
Castilla y León,37,Salamanca,331473,702,276012,29934,305946,,188006,901,188907,187084,184727,2357,1823,60967,,65117,,29193,,12122,,12430,,160,,136,,70,,118,,1234,,509,,365,,235,,210,,143,,135,,44,,184,,156,,126,,81,,123,,96,,263,,84,,87,,103,,46,,38,,63,,36,,53,
Castilla y León,40,Segovia,153342,332,117708,3223,120931,,86110,172,86282,85112,83811,1301,1170,27911,,26356,,13370,,7144,,6044,,91,,52,,34,,69,,754,,464,,102,,133,,104,,89,,113,,10,,84,,86,,51,,387,,36,,78,,26,,22,,52,,27,,30,,22,,35,,17,,18,
